Name,Street Address,County,Contact,Contact Info,Last Check-in,Next Check-in,Notes,Interest,Liquor Store,Bar
Nic’s Hometown Tavern,"180 NJ-36, Hazlet, NJ 07730",Monmouth,,,6/11/2024,,5/22- Bar manager showed some interest and asked for samples. 5/23-Dropped off samples. 6/11- BM says they don't have any open taps but will reach out when they do. ,1,FALSE,TRUE
Driftwood Liquor & Bar,"300 Bay Ave, Highlands, NJ 07732",Monmouth,,,4/22/2024,,Buyer is usually in 8am-11am. Stop back ,3,FALSE,TRUE
The Chubby Pickle,"23 Bay Ave, Highlands, NJ 07732",Monmouth,,,4/22/2024,,Talk w/ Craig on Tuesdays or THursdays at 1pm,,FALSE,TRUE
Andy's Shore Bar,"150 Bay Ave, Highlands, NJ 07732",Monmouth,,,4/22/2024,,"Weird spot, looks like a house and was closed despite the hours saying they were open. Try back when convenient",1,FALSE,TRUE
Houlihan's,"2136 NJ-35, Holmdel, NJ 07733",Monmouth,,,6/11/2024,,"Joe is interested in bringing us in. Bring him samples of IPAs, skelly, Belmar V. 5/1 Joe was happy to get the samples and brought the GM, Robin, over to talk with us. Seems like they're both on board with brining us in, just need corporate approval. Robin gave me her email to send a w-9 over. 6/11- Joe says corporate is lagging on getting us in despite him pushing for it. Left an updated CPL and signed w-9 in hopes of moving things along. ",3,FALSE,TRUE
Chili's,"2105 NJ-35 Suite #101, Holmdel, NJ 07733",Monmouth,,,4/30/2024,,"GM, Greg, told me it was ""highly unlikely"" he'd be able to get us in but he would check with his Dist. Manager. Said he would reach out if it gets approval ",0,FALSE,TRUE
Applejack 2 Sports Bar & Grill,"60 Carr Ave, Keansburg, NJ 07734",Monmouth,,,5/22/2024,,Bartender took a CPL for the owner but showed almost no interest. Had some craft taps so worth stopping back at.,1,FALSE,TRUE
McDonagh’s Pub & Restaurant,"2 W Front St, Keyport, NJ 07735",Monmouth,,,4/30/2024,5/14/2024,"Spoke with GM, Steve. He took a CPL and said he would talk with the Bar manager about it and get back to me. Good place to stop back in at. ",3,FALSE,TRUE
Burlew's Seafood and Steak,"59 W Front St, Keyport, NJ 07735",Monmouth,,,4/30/2024,5/14/2024,The manager said he would talk with the GM about getting a keg for their summer patio bar downstairs and reach out soon to get w-9 sorted. Stop back if he doesn't reach out. ,3,FALSE,TRUE
Old Glory Kitchen + Spirits,"84 Broad St, Keyport, NJ 07735",Monmouth,,,4/30/2024,,"Not taking on new beer right now, rep that was next to me at the bar had been going in every tuesday for 6 months and they might bring his beer on next month. They do however like local breweries and need a sour. ",3,FALSE,TRUE
Castaway's Pub,76 Grand Central Ave,Ocean,Sal,,6/14/2024,6/14/2024,Sal wants one sixtel of Choppy.,5,FALSE,TRUE
Crabs Claw Inn,601 Grand Central Ave,Ocean,Santo,,6/20/2024,,Santo was out but I left a CPL for him w/manager. 6/20- Santo is out on Thursdays,3,FALSE,TRUE
Nip n Tuck,"23 Norwood Ave, Long Branch, NJ 07740",Monmouth,,,4/2/2024,,"Left CPL and samples with floor manager who said he would pass along and speak with GM. Good spot, check back",3,FALSE,TRUE
Reef & Barrel,"153 Sea Girt Ave, Manasquan, NJ 08736",Monmouth,Neil,,,,"Neil is the daytime bartender on Fridays, stop by then to talk w/him ",,FALSE,TRUE
MJ's,"1005 NJ-35, Middletown Township, NJ 07748",Monmouth,,,4/30/2024,5/14/2024,The manager took a CPL but showed no real interest. Worth checking back on,3,FALSE,TRUE
Olde Village Pub,"1211 NJ-35, Middletown Township, NJ 07748",Monmouth,,,4/30/2024,5/14/2024,"Spoke w/owner who told me his wife, Sydney, handles beer. Also said he used to carry our cans and they will most likely bring us back in. Potential keg line in summer. ",3,FALSE,TRUE
Beach Tavern,"33 West St, Monmouth Beach, NJ 07750",Monmouth,,,,,Showed no interest but its a good bar. ,1,FALSE,TRUE
Kelly's Tavern,"43 NJ-35, Neptune City, NJ 07753",Monmouth,,,5/9/2024,5/6/2024,"Spoke with a manager who took a CPL for their buyer, also Chris. Good place, stop back. 5/8- Chris was out but should be in tomorrow morning. 5/9- Chris was unavailable but the host said this was a good time of day to try to get him (11am).",3,FALSE,TRUE
Pete & Elda's,"96 Woodland Ave, Neptune City, NJ 07753",Monmouth,,,6/10/2024,,"Left a CPL w/ a manager who said they would pass it along to Chris, the tap manager. They used to carry us, great place to stop back at. 5/8-Chris wasn't in but I was told he's usually in Sundays and Mondays. 6/10- Chris left before opening, left another CPL for him. ",3,FALSE,TRUE
Headliner Oasis,"1401 NJ-35, Neptune City, NJ 07753",Monmouth,,,5/9/2024,,"Bartender told me Tom Swayda is the Bar manager and is usual in Tuesday, Thursday, and Friday AMs",3,FALSE,TRUE
Sunsets Riverfront Bar and Restaurant,"302 S Concourse, Neptune City, NJ 07753",Monmouth,,,,,,,FALSE,TRUE
The Grand Tavern,"1105 6th Ave, Neptune City, NJ 07753",Monmouth,,,,,,,FALSE,TRUE
Il Posto,"1129 5th Ave, Neptune City, NJ 07753",Monmouth,,,,,,,FALSE,TRUE
Patrick's Grille,"62 W Sylvania Ave, Neptune City, NJ 07753",Monmouth,,,5/8/2024,,Bartender told me Patrick manages the bar and said she would pass along the CPL but refused to let me know when he would be in or how to reach out. Might be worth trying again and seeing if a different bartender is more willing to help but seemed like he set the precedent he doesn't want to deal with sales people. ,0,FALSE,TRUE
Brick House Tavern + Tap,"3655 NJ-66, Neptune Township, NJ 07753",Monmouth,,,4/29/2024,,The manager wants samples of Vienna and Swell,3,FALSE,TRUE
MJ's Restaurant Bar and Grill,"3205 NJ-66, Neptune Township, NJ 07753",Monmouth,Keith,,5/28/2024,,Keith was in a meeting and told me to come back another time.,,FALSE,TRUE
Houlihan's,"491 John Davison Rockefeller Memorial Highway, NJ-70, Brick Township, NJ 08723",Ocean,Joe,,4/23/2024,,"Spoke w/ a manager Joe. Said they are taking Toms Riv beer off soon and might be intersted in replacing it with us, just needs corporate approval. Check back ",3,FALSE,TRUE
Applebee's,"2301 NJ-66, Ocean Township, NJ 07712",Monmouth,,,4/29/2024,5/13/2024,"Spoke with GM, Antonio. Said he would speak with the Dist. Manager about getting us in and will reach out when they get approval. Spoke about needing a W-9, seems serious, stick with it. ",3,FALSE,TRUE
Miller's Ale House,"1603 NJ-35, Ocean Township, NJ 07712",Monmouth,,,4/29/2024,,"Spoke w/ GM, Carly. Said they should have lines opening up soon and is intersted in bringing us in. Gave me her card, follow up via email. ",,FALSE,TRUE
Otto's Tavern,"845 W Park Ave, Ocean Township, NJ 07712",Monmouth,,,6/10/2024,,"Buyer is in early, 9-10am. ",,FALSE,TRUE
Shore House,"2114 NJ-88, Point Pleasant, NJ 08742",Ocean,,,4/24/2024,5/13/2024,"Dropped a CPL w/manager who said they'd pass it along to owners. Good spot, keep up with it",3,FALSE,TRUE
Idle Hour,"2600 NJ-88, Point Pleasant, NJ 08742",Ocean,,,4/24/2024,,Left a CPL w/manager who said he'd talk w/ owners. Has both lines and retail for cans. Didn't seem overly interested but it would be a good spot,3,FALSE,TRUE
Half Moon Point Tavern,"2154 Bridge Ave, Point Pleasant, NJ 08742",Ocean,Tyler,,6/13/2024,6/20/2024,Tyler will likely want to bring Choppy on in 2-3 weeks when he kicks a slow moving keg. 6/13 Tyler is on Wednesdays and Sundays,3,FALSE,TRUE
Amendment 21,"521 Arnold Ave, Point Pleasant Beach, NJ 08742",Ocean,Adrian or Dylan,,5/2/2024,6/10/2024,"Both buyers are out until next week. Stop back on wed or thurs to catch them. Really good spot for us, keep w/ it. 5/2 Adrian tomorrow early, she's bm. 5/3 Spoke w/Adrian, she needs a pils. 5/6-Dropped off pils for Adrian",3,FALSE,TRUE
Boatyard401,"401 Broadway, Point Pleasant Beach, NJ 08742",Ocean,Tommy,,6/13/2024,,"Bar manager, Tommy, works thurs, fri, and bartends sunday. He's in after 5 thurs fri, and stop by after 6 on sun. 6/13- Tommy was in a meeting so I left a CPL for him with the floor manager.",3,FALSE,TRUE
B2 Bistro + Bar,"709 Arnold Ave, Point Pleasant Beach, NJ 08742",Ocean,Mike,,6/13/2024,6/24/2024,Spoke w/Mike. He knew us and said he would talk w/owners about bringing us in. Seemed genuine ,3,FALSE,TRUE
Frankie's,"414 Richmond Ave, Point Pleasant Beach, NJ 08742",Ocean,Pat,,6/13/2024,,"Spoke w/ BM, Pat. Said he would look over the CPL, showed no real interest",1,FALSE,TRUE
Ark Pub,"401 NJ-35, Point Pleasant Beach, NJ 08742",Ocean,,,6/13/2024,,BM usually gets in around 7pm. Left a CPL for him w/ bartender Micheal,,FALSE,TRUE
The Broadway Bar & Grill,"106 Randall Ave, Point Pleasant Beach, NJ 08742",Ocean,,,5/14/2024,,No manager on till Friday. Kinda divey spot.,,FALSE,TRUE
Off Shore Restaurant & Pub Bar,"225 Ocean Ave N, Point Pleasant Beach, NJ 08742",Ocean,,,,,,,FALSE,TRUE
The Wharfside Seafood & Patio Bar,"101 Channel Dr, Point Pleasant Beach, NJ 08742",Ocean,,,5/15/2024,,Left a CPL with the Manager who said I would need to speak with the supervisor who is in sporadically. Only had Cape and Asbury for craft.,1,FALSE,TRUE
Jenkinson's Pavillion Bar and Restaurant,"300-308 Beach Front, Point Pleasant Beach, NJ 08742",Ocean,,,,,,1,FALSE,TRUE
Boardwalk Bar & Grill,"401 Boardwalk, Point Pleasant Beach, NJ 08742",Ocean,,,5/15/2024,,Not taking on new products because they have already printed their menus for summer. ,0,FALSE,TRUE
Red Rock Tap + Grill,"14 Wharf Ave, Red Bank, NJ 07701",Monmouth,,,,,"Too busy to talk, left a CPL. Good place to try again during a slower time. ",3,FALSE,TRUE
The Robinson Ale House,"26 Broad St, Red Bank, NJ 07701",Monmouth,,,,,"Too busy to talk, left a CPL. Good place to try again during a slower time. ",3,FALSE,TRUE
Dublin House,"30 Monmouth St, Red Bank, NJ 07701",Monmouth,,,,,"Too busy to talk, left a CPL. Good place to try again during a slower time. ",3,FALSE,TRUE
Jamian's Food and Drink,"79 Monmouth St, Red Bank, NJ 07701",Monmouth,,,,,"Too busy to talk, left a CPL. Good place to try again during a slower time. ",3,FALSE,TRUE
The Globe Hotel Co,"20 E Front St, Red Bank, NJ 07701",Monmouth,BM-Dan,,,,Dan was not receptive. ,1,FALSE,TRUE
Val's Tavern,"123 E River Rd, Rumson, NJ 07760",Monmouth,,,,,Shift lead took a CPL and said she would talk with the owners about bringing us in.,3,FALSE,TRUE
Brother's Daley,"1124 E Ocean Ave, Sea Bright, NJ 07760",Monmouth,,,4/22/2024,,Left a CPL in the mailbox again and emailed the contact listed online.  ,3,FALSE,TRUE
Ocean House Tap & Grill,"1072 Ocean Ave N, Sea Bright, NJ 07760",Monmouth,,,,,"Open at 4, make stop soon.",,FALSE,TRUE
Donovan's Reef,"1171 Ocean Ave, Sea Bright, NJ 07760",Monmouth,,,4/22/2024,,"Closed, seems like it might be a seasonal place. ",,FALSE,TRUE
EvenTide Grille,"1400 Ocean Ave N, Sea Bright, NJ 07760",Monmouth,,,4/22/2024,,"Left a CPL with the bartender, try back to get a manager or owner",,FALSE,TRUE
Drifthouse,"1485 Ocean Ave N #2225, Sea Bright, NJ 07760",Monmouth,,,,,Opens at 4 as well,,FALSE,TRUE
Ocean House Tap & Grill,"1072 Ocean Ave N, Sea Bright, NJ 07760",Monmouth,,,,,Opens at 4,,FALSE,TRUE
Tommys Tavern + Tap,"1030 Ocean Ave N, Sea Bright, NJ 07760",Monmouth,,,4/22/2024,5/6/2024,"Met w/ Buyer Kyle. Showed interest and was engaging. Left samples and CPL, hopefull he'll bring us on. Check back",1,FALSE,TRUE
The Rum Runner,"816 Ocean Ave, Sea Bright, NJ 07760",Monmouth,,,4/3/2024,,"Left CPL for bar manager w/host. Seemed irritated and hurried me out, worth checking back though",1,FALSE,TRUE
Woody's Ocean Grille,"1 E Church St, Sea Bright, NJ 07760",Monmouth,,,4/3/2024,,Met w/GM. Wasn't interested in bringing us on but took a CPL ,1,FALSE,TRUE
EJ's,919 Boardwalk,Ocean,,,5/15/2024,,Was closed and appeared to be very divey. Check back on a nicer day,,FALSE,TRUE
Jimbo's Bar and Grill,715 Boardwalk,Ocean,,,5/15/2024,,"Also closed, check back on a nicer day",,FALSE,TRUE
JR's Ocean Bar & Grill,601 Boardwalk,Ocean,,,,,Nicer day,,FALSE,TRUE
St. Stephen's Green Publick House,"2031 NJ-71, Spring Lake, NJ 07762",Monmouth,,,,,Dropped a CPL w/manger who will pass along to owners. Decent spot,3,FALSE,TRUE
Spring Lake Tap House,"810 NJ-71, Spring Lake, NJ 07762",Monmouth,,,5/28/2024,6/12/2024,They're in the process of hiring a new bar manager. Asked to check back in a couple weeks,,FALSE,TRUE
Heights 27 Bar & Grille,"2407 NJ-71, Spring Lake Heights, NJ 07762",Monmouth,Sergio,,5/28/2024,,"Dropped samples and CPL w/Sergio for owners. He leaves it for them, if they like it he brings it in. ",3,FALSE,TRUE
CJ McLoone's,"560 Shrewsbury Ave, Tinton Falls, NJ 07701",Monmouth,,,4/29/2024,5/13/2024,Spoke w/manger and left a CPL for them to show the buyer. Didn't show to much interested but worth stopping back,1,FALSE,TRUE
Pour House,"640 Shrewsbury Ave, Tinton Falls, NJ 07701",Monmouth,,,4/29/2024,5/13/2024,Kind of a weird spot. Manager was busy dealing with construction that was being done. Worth stopping back ,1,FALSE,TRUE
Miracle Pub,"201 NJ-37, Toms River, NJ 08755",Ocean,Mike,,6/12/2024,,"Mike was out, told to try back another day. 6/12 Mike was in but couldn't be found. Left another CPL for him. ",3,FALSE,TRUE
TGI Fridays,"1279 Hooper Ave, Toms River, NJ 08753",Ocean,,,6/12/2024,,"Gave Tom some samples, stop back in a couple weeks. Tom is no longer w/ the company. Gave the floor manager a CPL for GM. ",3,FALSE,TRUE
Chili's Grill & Bar,"1315 Hooper Ave, Toms River, NJ 08753",Ocean,Ron,,6/12/2024,,"Met w/GM Rob, he took some samples and said he'd reach out. 6/12- Rob was out, talked w/Travis. Said Ill have to talk w/Rob but corporate dropped their craft handles from 4 to 2 so its rough getting in. ",3,FALSE,TRUE
McIntyre's Pub,"1747 Hooper Ave, Toms River, NJ 08753",Ocean,,,,,"Decent spot, stop back when it's slower.",3,FALSE,TRUE
Riv's Toms River Hub,"1850 Hooper Ave, Toms River, NJ 08753",Ocean,,,,,Dropped CPL w/bartender. She showed no interest and wouldn't give me BM details,1,FALSE,TRUE
Christopher's Pub,"955 Hooper Ave, Toms River, NJ 08753",Ocean,,,,,"Pretty divey, probably not for us. ",0,FALSE,TRUE
JakeaBob's Bay,"525 Front St, Union Beach, NJ 07735",Monmouth,,,5/22/2024,,Manager was nice and took a CPL but didn't seem to be intersted in craft. Seasonal beach pop up spot. ,1,FALSE,TRUE
Ader's Tavern,"1321 Florence Ave, Union Beach, NJ 07735",Monmouth,Sheryll ,,5/22/2024,,"Spoke w/Bar manager, who was nice and said she would speak w/ owners about bringing us in. Didn't show any real interested though.",1,FALSE,TRUE
Zachary's Bar & Grill,"71 Oceanport Ave, West Long Branch, NJ 07764",Monmouth,Rich?,,4/2/2024,,Buyer is in between 10 and 2,,FALSE,TRUE
Rodeio Grill,"78 Oceanport Ave, West Long Branch, NJ 07764",Monmouth,,,4/2/2024,,"Not Intersted, doesn't carry craft",0,FALSE,TRUE
Jack's Goal Line Stand,"149 Brighton Ave, Long Branch, NJ 07740",Monmouth,"Andreas or Micheal (AKA ""Foolish"")",,6/10/2024,,Come by after 4:30 to catch one of the buyers,3,FALSE,TRUE
Max's Bar & Grill,"25 Matilda Terrace, Long Branch, NJ 07740",Monmouth,Marry-Kate,,6/10/2024,6/17/2024,BM is going to talk w/owners about bringing us in. They have an open line. ,3,FALSE,TRUE
Charley's Ocean Grill,"29 Avenel Blvd, Long Branch, NJ 07740",Monmouth,,,6/10/2024,,"Bar manager wasn't in, left a CPL w/bartender",3,FALSE,TRUE
BJ's Restaurant & Brewhouse,"1275 Hooper Ave, Toms River, NJ 08753",Monmouth,Michelle,,6/12/2024,,"Left a CPL for BM, Michelle, w/floor manager Meg. ",3,FALSE,TRUE
Beachcomber,"100 Ocean Terrace, Seaside Heights, NJ 08751",Ocean,,,6/13/2024,,Nicer Day,,FALSE,TRUE
Celtic Cottage,"608 2nd Ave, Long Branch, NJ 07740",Monmouth,,,6/10/2024,,Left a CPL for the owner. Bartender said they reluctant to bring new things in and are looking to sell,1,FALSE,TRUE
Buteco Sports Bar,"527 Springdale Ave, Long Branch, NJ 07740",Monmouth,,,6/10/2024,,Bartender spoke 0 english and called the BM to talk w/me on the phone. He told me to leave a CPL but showed no interest,1,FALSE,TRUE
Chupacabra Taqueria & Cantina,"155 Brighton Ave, Long Branch, NJ 07740",Monmouth,,,6/10/2024,,"6 taps, no craft, not for us. ",0,FALSE,TRUE
MURPHY’S,"405 Division St, Long Branch, NJ 07740",Monmouth,,,6/10/2024,,Not for us,0,FALSE,TRUE
